State,County,FIPS Code,Geographic Coordinates,Life Expectancy,Current Adult Asthma,Stroke,COPD,CHD,High Blood Pressure ,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Food Insecurity,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI) ,Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: % housing units built before 1960,Lead in drinking water violations,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs) ,Facilities with Enforcement or Violation,Landfills,TSCA Facilities ,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Temperature-related mortality,Deaths from climate disasters,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Increase in childhood asthma incidence,Aedes aldopictus dengue transmission increase,Aedes aegypti dengue transmission increase,Aedes aegypti zika transmission increase,FEMA Hazard Mitigation Grants ,Flooding risk to properties,Residential Energy Expenditures (% change),Methane Emissions,Cold Wave - Annualized Frequency,Days with maximum temperature above 35 C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index
IL,DuPage,17043840000,"+41.9784876,-087.9395607",78.6,9.2,2.9,6.7,5.6,29,74,1.8,0,125.52,5.33,2,7.147073477,13,6,88.32,77.69,5.43,5.19,,46,937.3799833464,63.16642,5360,0.5,0.1,0.06,0.1,0.1,0.06,0.08,0.05,40,9.91791983,4.452574526,83.4938111296138,0,0.393837133,0.520589119737894,0.0430503566439965,10.6469779073204,10.83212327,,2.636220694,0.959571314896716,16.06453429,1.075292999,9.586,5.937,34.95,0,67.4,0.4,-1.856730802,5220,-0.00012,4.43E-06,-0.000134,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,2.01E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840101,"+41.9765040,-087.9764972",77.5,9.3,3.1,7.4,6.1,31.7,74,1.75,0,124.54,3.93,2,4.32362387,0,6,45.9,40.78,2.65,2.47,,6,337.711515973775,58.2322502,10600,0.5,0.1,0.04,0.08,0.1,0.04,0.06,0.05,30,9.91791983,4.452574526,46.0224578877442,0,,0.384342642711473,0.044856940686016,8.67269524640486,9.111411576,,2.538193738,0.949157630477768,13.77731697,0.611142373,9.2,5.3,35.51,5,57.4,1.7,-1.856730802,5220,-0.00011,4.43E-06,-0.00013,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,1.01E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840102,"+41.9597139,-087.9944205",83.6,9,2.9,6.8,5.9,32.2,74,1.78,0,,4.4,2,3.476686954,0,6,5.65,5.65,0,0,,0,84.2458357078764,55.8901596,5930,0.4,0.09,0.02,0.07,0.09,0.02,0.04,0.05,30,9.91791983,4.452574526,44.21791551476,0,,0.872643107899159,0.050666212396145,5.57839187492467,7.645145106,,0.656864681,0.552170764377258,4.713059073,0.015104113,9.017,5.006,35.86,1,46.3,2.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000152,0,2,4,21662611.62,0.5,0.031368797,567670057339,0.741350906,18.51505358,7.264204148,-31.82695566,3.765808499,3.575407639,13.6666666666667,9.722222222,-0.111583436,7.41E-06,-2.562324741,-0.127105886,35.95014225
IL,DuPage,17043840103,"+41.9468911,-087.9738872",80.7,8.9,3.2,7.3,6.8,34.8,74,1.79,0,105.7,3.53,2,2.719543234,0,6,64.34,57.6,2.85,3.89,,7,711.043737321985,56.4172211,11100,0.5,0.09,0.03,0.07,0.1,0.03,0.04,0.05,30,9.91791983,4.452574526,33.0320900054732,0,,0.535833169995823,0.0469121016372635,5.39077921968965,8.300549173,,0.69370822,0.697146786797915,6.561372385,0.361972901,9.039,5.077,35.33,5,32.3,7.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000124,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,6.18E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840104,"+41.9426312,-087.9918507",81.4,9.4,3.3,7.7,6.6,32.1,74,1.8,0,106.19,2.8,2,2.643668262,10,6,42.02,39.37,0.9,1.75,,0,1488.51593466969,53.6116219,13800,0.4,0.08,0.03,0.08,0.1,0.03,0.04,0.04,30,9.91791983,4.452574526,73.0492014893759,0,,4.27591352115027,0.052669675448173,5.88523381725435,8.426037977,,0.250541104,1.08727273464698,6.360055569,0.046150924,8.992,4.984,35.71,7,40.1,1.5,-1.856730802,5220,-1E-04,4.43E-06,-0.000141,0,2,4,21662611.62,0.5,0.031368797,580769809008,0.741350906,18.4690889,7.24187431,-31.82322676,3.760757874,3.572858185,13.6666666666667,9.722222222,-0.105158467,8.39E-06,-2.56647732,-0.127588003,36.07700622
IL,DuPage,17043840201,"+41.9790697,-088.0142742",81.4,8.4,2.4,5.5,5,29.9,74,1.72,0,89.5,3.57,1,5.731708223,4,6,98.86,90.66,3.2,4.99,,8,996.477226280618,56.6446991,10200,0.4,0.08,0.02,0.07,0.09,0.01,0.03,0.05,30,9.91791983,4.452574526,5.371115284982,0,,2.26856471379258,0.051156072348496,6.83861572889136,5.362040901,,1.189612917,0.924111100791728,5.090680518,0.230215913,8.958,4.708,36.13,12,48.5,1.2,-1.856730802,5220,-1E-04,4.43E-06,-9.12E-05,0,2,4,21662611.62,0.5,0.031368797,387240081796,0.741350906,19.14848245,7.571926598,-31.87834279,3.835410015,3.610541079,14,10.11111111,-0.200124488,2.63E-06,-2.505098987,-0.120461932,34.20185849
IL,DuPage,17043840202,"+41.9539459,-088.0139581",83.4,8.7,2.9,6.7,6,32.8,74,1.76,0,94.48,3.6,2,4.043311188,10,6,71.21,64.29,2.56,4.36,,0,1566.6082571909,56.1651001,9110,0.4,0.08,0.02,0.07,0.09,0.02,0.03,0.04,30,9.91791983,4.452574526,38.0447421010574,0,,0.603319146175588,0.055704068483611,6.37065577753665,6.541096257,,0.391731415,1.05171784563596,4.153910353,,8.914,4.778,36.04,4,34.9,6,-1.856730802,5220,-1E-04,4.43E-06,-0.000167,0,2,4,21662611.62,0.5,0.031368797,363726176011,0.741350906,19.23106201,7.6120441,-31.88504208,3.844483903,3.615121394,14,9.722222222,-0.211667506,6.04E-06,-2.497638517,-0.119595765,33.9739363
IL,DuPage,17043840303,"+41.9354602,-088.0058200",81.5,9.6,3,7.3,5.9,31.1,74,1.81,0,,2,2,2.293492662,,6,18.86,18.86,0,0,,0,262.67697127245,49.3546295,6670,0.4,0.08,0.03,0.07,0.1,0.02,0.04,0.03,30,9.91791983,4.452574526,67.1455860912795,0,,1.55240572786731,0.055954575874407,6.90932508697857,8.800117175,,,1.40437378087964,7.490310052,,8.817,4.888,35.19,0,51.1,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000142,0,2,4,21662611.62,0.5,0.031368797,409719413691,0.741350906,19.06956009,7.533585779,-31.87194018,3.826737983,3.606163612,13.6666666666667,9.722222222,-0.189092675,0,-2.512229056,-0.121289738,34.4196867
IL,DuPage,17043840304,"+41.9383703,-088.0231455",81,8.8,3.1,7,6.5,34.2,74,1.81,0,117.83,2,2,2.491107909,,6,24.4,23.78,0.43,0.2,,0,431.985068682796,49.3204918,7230,0.4,0.07,0.02,0.06,0.08,0.02,0.03,0.03,30,9.91791983,4.452574526,35.4694698900781,0,,0.000119803823979,0.060730048555064,7.79646907864119,7.912138133,,0.116675456,1.40076363545887,6.011644669,,8.867,4.816,34.67,4,48.1,0,-1.856730802,5220,-0.00011,4.43E-06,-5.74E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,2.45E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840600,"+41.9091561,-087.9496937",82.7,8.7,2.7,5.8,5.5,30.6,74,2.17,0,169.45,3.3,1,5.483874127,5,6,57.47,50.46,2.79,4.22,,0,1851.62122800078,52.4885216,9180,0.5,0.09,0.02,0.07,0.1,0.02,0.03,0.05,30,9.91791983,4.452574526,1.70143742534717,0,1.202633846,1.57480591453523,0.047175223590241,7.1451914802898,5.229679363,0.044038188,0.428964484,2.82209099787599,4.913791222,0.059347855,9.102,5.223,35.45,2,42.7,1,-1.856730802,5220,-0.00011,4.43E-06,-0.000119,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,4.277777777,-0.090057746,1.95E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840703,"+41.9372257,-087.9300599",79.5,9.1,2.8,6.2,5.4,30.4,74,1.82,0,,5.53,2,4.046339578,,6,10.33,10.33,0,0,,0,137.660085202037,55.9236794,5760,0.5,0.1,0.03,0.08,0.1,0.03,0.04,0.06,40,9.91791983,4.452574526,62.4917093531145,0,2.248667221,17.7817030798112,0.0423918152887305,7.16748841132766,8.030773016,,1.724060213,2.00279599568953,6.522764794,0.894292416,9.317,5.961,34.58,1,41.5,0,-1.856730802,5220,-0.00012,4.43E-06,-0.000104,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,3.46E-07,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840704,"+41.9411814,-087.9472043",84.4,9.2,3.1,7.4,6.3,30.9,74,1.82,0,86.63,3.8,2,3.845688544,,6,30.67,27.75,1.34,1.58,,0,514.702555424138,53.21735,5580,0.5,0.09,0.02,0.07,0.1,0.02,0.04,0.05,30,9.91791983,4.452574526,42.3872295345138,0,0.380420843,2.24144602986835,0.0452226281667975,5.68806599103442,7.61823341,,1.127193127,1.55971250230067,6.261262784,0.692409246,9.167,5.289,35.04,2,29.7,6.1,-1.856730802,5220,-0.00011,4.43E-06,-0.00016,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,1.11E-05,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840705,"+41.9216340,-087.9518395",77.7,8.2,2.6,5.5,5.4,30.4,74,2.2,0,122.59,3.87,2,4.962448822,,6,113.82,101.32,4.12,8.38,,0,912.746176838573,53.7667809,8530,0.5,0.09,0.02,0.07,0.1,0.02,0.04,0.05,30,9.91791983,4.452574526,23.4187423078687,0,0.81608743,3.23931716399199,0.0461898234223675,6.6391824150243,6.23203218,,0.628951344,2.47834437456805,5.599507653,0.366856037,9.176,5.381,35.13,2,68,0,-1.856730802,5220,-0.00011,4.43E-06,-9.78E-05,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,6.69E-07,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840706,"+41.9181215,-087.9250012",81.8,8.6,2.8,6.3,5.8,32.4,74,2.2,0,119.59,5.48,2,4.168293507,,6,151.35,133.74,5.54,12.07,,0,1645.77592504864,54.8122711,6090,0.5,0.1,0.02,0.08,0.1,0.02,0.04,0.05,40,9.91791983,4.452574526,22.0387269205866,0,3.511840601,1.72478456528299,0.044274080470281,6.55789859467387,6.805681718,0.048091439,1.00976332,3.53232118068971,4.198968746,0.446730825,9.233,5.813,35.11,1,45.2,0.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000117,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,4.277777777,-0.090057746,1.52E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840801,"+41.9517961,-087.9316177",76,9.4,5,9.9,9.9,39.3,74,1.82,0,103.92,7.05,3,4.292934187,20,6,21.45,20.39,0.52,0.54,,1,109.643797925066,57.956459,4030,0.5,0.1,0.03,0.07,0.1,0.03,0.05,0.06,40,9.91791983,4.452574526,74.7993049182598,0,1.381936317,10.09198675962,0.04172408272669,6.50703304130526,9.409956868,,1.965346176,1.12884138553496,8.956545335,1.01275235,9.533,5.766,34.51,1,70.8,0,-1.856730802,5220,-0.00011,4.43E-06,-0.000128,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,0,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840802,"+41.9535781,-087.9492638",78.4,9,2.7,6.3,5.3,29.1,74,1.82,0,123.39,4.93,2,2.349144566,12,6,15.84,13.64,1.14,1.06,,17,363.457426356283,59.4931908,8190,0.5,0.1,0.03,0.08,0.1,0.03,0.05,0.05,30,9.91791983,4.452574526,65.3429867164765,0,0.126174114,1.59187558848309,0.043628073026932,6.39493622866423,9.010478088,,1.369099049,0.756872455842318,8.492662938,0.836428752,9.267,5.656,34.8,5,48.9,0,-1.856730802,5220,-0.00012,4.43E-06,-0.000106,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,1.62E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840901,"+41.9696695,-088.0408146",80.4,8.8,2.6,6,5.4,30.8,74,1.65,0,163.43,2.94,1,5.586086732,14,6,57.8,55,1.31,1.49,,10,1141.30835786766,54.9430313,5210,0.4,0.08,0.02,0.07,0.09,0.01,0.03,0.05,30,9.91791983,4.452574526,35.6331890103354,0,0.066122405,0.096252670377797,0.0576766865833045,5.21674758293684,3.596692607,,0.846745101,1.06823452755171,3.520079352,,8.817,4.498,36.02,1,39.6,0.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000101,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,4.82E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840904,"+41.9272488,-088.0551815",79,8.6,2.2,5.1,4.3,25.7,74,1.55,0,116.06,1.83,2,3.524536431,,6,79.96,71.78,4.85,3.33,,4,385.399428359109,50.7197418,20200,0.4,0.06,0.01,0.06,0.07,0.01,0.02,0.03,30,9.91791983,4.452574526,71.7389395509853,0,,0.0008708853794555,0.078614195049145,5.24822455895317,5.225411625,,,1.05195889844807,3.495858627,,8.939,4.623,35.83,2,48.6,1.9,-1.856730802,5220,-0.00013,4.43E-06,-0.000164,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,6.04E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840906,"+41.9387407,-088.0370157",81.5,9.5,2.6,6.5,5.1,30.2,74,1.81,0,110.9,2,2,3.295503533,,6,95.47,87.04,4.1,4.34,,0,3795.18276181399,53.9686813,5750,0.4,0.07,0.02,0.06,0.08,0.01,0.03,0.03,30,9.91791983,4.452574526,73.9855858583922,0,,0.000168515253264,0.0638146554814175,6.25799845761525,5.879827658,,0.22579863,1.24542552939886,3.568492281,,8.917,4.814,34.69,1,60.1,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000132,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,9.5E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840907,"+41.9443608,-088.0526604",,9,3.1,6.8,6.2,33.5,74,1.52,0,149.52,1.8,2,3.674199576,,6,27.55,24.92,1.83,0.8,,0,446.906085710448,49.9265518,11800,0.4,0.07,0.02,0.06,0.08,0.01,0.03,0.03,30,9.91791983,4.452574526,58.5600547012519,0,,0.000555719923637,0.067431024686053,4.5649115267798,4.056815905,,0.254916823,1.02807716894783,1.782487456,,8.793,4.622,35.62,4,36.7,4.3,-1.856730802,5220,-1E-04,4.43E-06,-9.81E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,1.05E-05,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840908,"+41.9138078,-088.0503008",77.8,8.8,2.4,5.7,4.7,29.8,74,1.43,0,138.44,2.53,2,3.117632843,,6,62.48,56.62,3.09,2.78,,0,89.9972746861856,52.0643311,11100,0.4,0.06,0.01,0.06,0.08,0.01,0.03,0.03,30,9.91791983,4.452574526,70.2247086377604,0,,0.002031640765524,0.076391877597127,5.69858267102142,5.605645207,,,1.1962582257243,4.721556458,,9.011,4.437,35.78,3,35.1,4.6,-1.856730802,5220,-1E-04,4.43E-06,-0.000128,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,8.72E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840910,"+41.9116581,-088.0724937",79.9,9.4,2.8,6.7,5.5,30.5,74,1.47,0,137.39,1.9,2,3.606100263,,6,21.32,19.21,1.09,1.02,,0,488.305524625766,52.5677109,17600,0.4,0.06,0.01,0.06,0.07,0.01,0.02,0.03,30,9.91791983,4.452574526,53.4810857922269,0,,0.001345514556712,0.084112541445278,4.4704135225889,4.975144015,,,0.831961784057935,3.844562658,,8.892,4.169,36.18,1,40.5,0,-1.856730802,5220,-0.00012,4.43E-06,-9.44E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,2.79E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840911,"+41.9226460,-088.0725717",82.9,8.4,2.3,5.3,4.5,28.3,74,1.26,0,137.87,1.9,2,3.734050531,,6,6.64,6.39,0.16,0.1,,1,157.698962438688,52.0071411,16800,0.4,0.06,0.01,0.06,0.07,0.01,0.02,0.03,30,9.91791983,4.452574526,70.7856967152028,0,,0.0039714007220025,0.0825436361934725,5.50996273184733,5.146812476,,,1.00187964409168,3.245446556,,8.833,4.195,36.33,0,56.2,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000111,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,4.26E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841002,"+41.9647585,-088.0655918",77,8.8,3.2,7,6.8,34.4,74,1.32,0,153.4,2.53,1,4.439957292,0,6,32.86,30.69,1.35,0.81,,0,282.656863259394,55.4503593,6380,0.4,0.08,0.02,0.06,0.08,0.01,0.03,0.05,30,9.91791983,4.452574526,13.7294934953073,0,0.180215052,9.91E-05,0.0657617733910545,3.59999703431943,3.306519005,,0.619915155,0.719167917943448,2.614066013,,8.656,4.208,35.78,5,28.2,10.9,-1.856730802,5220,-1E-04,4.43E-06,-6.81E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,1.23E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841003,"+41.9873714,-088.0636192",78.3,8.9,2.7,6,5.4,31.8,74,1.35,0,204.04,4.6,2,3.763567516,,6,15.03,14.52,0.26,0.26,,5,753.324121498528,52.178791,5570,0.4,0.09,0.02,0.07,0.09,0.02,0.03,0.05,30,9.91791983,4.452574526,29.0524782316227,0,0.340384298,0.004478924396071,0.0600466563035745,3.98559475731292,2.790339088,,1.246040861,0.504160989116936,3.899347891,,8.589,4.29,36.92,5,39.1,0.3,-1.856730802,5220,-0.00011,4.43E-06,-7.53E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,3.66E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841004,"+41.9764838,-088.0664074",81,9.1,2.8,6.6,5.7,31,74,1.35,0,216.81,4,1,3.785708763,,6,13.74,13.32,0.27,0.15,,4,281.870287084781,53.8366699,5970,0.4,0.09,0.02,0.07,0.09,0.02,0.03,0.05,30,9.91791983,4.452574526,18.101081770586,0,0.354311292,1.63E-06,0.0627918294639585,3.78128831521901,3.166159953,,1.073098926,0.580260827786745,3.559087541,,8.578,4.078,37.06,4,45.9,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000104,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,1.15E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841102,"+41.9811413,-088.1206757",81.6,8.9,2.1,5.3,4,26.1,74,1.4,0,197.29,3.37,2,2.345875823,0,6,22.22,20.41,1,0.81,,4,63.6254785026666,52.1524811,15300,0.4,0.09,0.02,0.07,0.09,0.02,0.03,0.05,30,9.91791983,4.452574526,62.800738661387,0,0.806646522,0.106660042448496,0.0768004573814395,5.16089275808752,4.806551438,0.407056581,0.838247243,1.078616765514,2.042979659,,8.694,3.644,36.8,3,52.4,0.1,-1.856730802,5220,-0.00011,4.43E-06,-7.36E-05,0,2,4,21662611.62,0.5,0.031368797,1786024195607,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14.3333333333333,10.5,-0.212364414,2E-08,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841103,"+41.9657469,-088.0961237",78.9,8.8,2.2,5.4,4.5,28.5,74,1.33,0,144.73,2.8,2,4.400252836,6,6,19.57,17.83,0.99,0.75,,0,406.864913618941,54.5218811,11100,0.4,0.08,0.02,0.06,0.08,0.02,0.03,0.05,30,9.91791983,4.452574526,62.800738661387,0,0.450596559,0.029219755581889,0.0733545136245,3.9473373266042,4.737473266,0.283781718,0.441773517,0.863313318467377,2.021119038,,8.65,3.806,36.57,4,40.6,9.9,-1.856730802,5220,-1E-04,4.43E-06,-0.000126,0,2,4,21662611.62,0.5,0.031368797,810625261968,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,1.1E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841104,"+41.9815690,-088.0932279",80.1,8.6,2.4,5.6,4.9,30.1,74,1.35,0,192.32,2.9,2,2.213855765,0,6,11.81,11.5,0.18,0.12,,3,265.888158869193,52.5815392,13200,0.4,0.1,0.03,0.07,0.09,0.02,0.04,0.05,30,9.91791983,4.452574526,17.4075161202421,0,0.763579657,0.0459726398004005,0.0677272582335885,4.00637591982406,4.105841503,0.079461343,0.97107915,0.613179225956039,2.514324562,,8.753,3.84,36.28,6,45.7,1.7,-1.856730802,5220,-1E-04,4.43E-06,-0.00011,0,2,4,21662611.62,0.5,0.031368797,663916382630,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,8.77E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841108,"+41.9645567,-088.1378071",76.5,9,2.4,5.6,4.5,28.4,74,1.39,0,223.55,2.3,2,3.855343106,13,6,16.58,14.91,0.98,0.68,,0,845.957103429058,50.9274902,11800,0.4,0.08,0.02,0.06,0.08,0.01,0.03,0.05,30,9.91791983,4.452574526,63.021548915165,0,0.374101999,0.661084858148187,0.089441390261684,4.28487224019052,4.086155089,0.83383455,0.47470956,1.36727413330675,1.470141127,,8.8,3.57,36.98,2,24,9,-1.856730802,5220,-0.00014,4.43E-06,-0.000109,0,2,4,21662611.62,0.5,0.031368797,1791149927424,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.5,-0.212364414,4.56E-06,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841109,"+41.9421748,-088.0749355",79.4,9.2,2.5,6,4.9,28.9,74,1.26,0,127.04,1.75,2,5.123338325,,6,14.51,13.39,0.7,0.43,,0,888.411893303801,48.7137604,15500,0.4,0.06,0.01,0.06,0.07,0.01,0.03,0.03,30,9.91791983,4.452574526,62.800738661387,0,,0.000379149411214,0.076343748934912,3.68107582528214,3.908312265,,,0.970018776790457,1.145791581,,8.833,4.247,35.96,0,49.6,0,-1.856730802,5220,-0.00011,4.43E-06,-0.000132,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,5.04E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841110,"+41.9490961,-088.0696135",76.2,9,3.3,7.2,6.6,34.5,74,1.26,0,161.89,1.6,2,4.794923491,,6,6.12,5.86,0.2,0.05,,0,103.871835665831,50.6395798,10800,0.4,0.07,0.01,0.06,0.08,0.01,0.03,0.04,30,9.91791983,4.452574526,44.8901046236698,0,,0.000421795667094,0.072416791315989,3.52657953512211,3.226624548,,0.133929962,0.9961202427811,0.859462122,,8.833,4.395,35.93,3,46.6,0,-1.856730802,5220,-0.00011,4.43E-06,-0.000124,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,1.99E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043841111,"+41.9569694,-088.0903322",,8.6,3.6,7.5,7.6,37.4,74,1.26,0,142.81,2.8,2,5.318908085,,6,24.68,22.61,1.23,0.84,,0,745.430222715568,53.5443497,12100,0.4,0.08,0.02,0.06,0.08,0.01,0.03,0.04,30,9.91791983,4.452574526,37.8395537198892,0,0.177787598,2.18911866888337,0.0762552440493535,3.60775942953201,4.334486097,0.355450594,0.17104875,0.935070212613597,1.660232944,,8.8,3.839,36.26,1,51.4,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000172,0,2,4,21662611.62,0.5,0.031368797,651629539928,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,10.11111111,-0.212364414,3.32E-07,-2.497188091,-0.11954347,33.96017551
