State,County,FIPS Code,Geographic Coordinates,Life Expectancy,Current Adult Asthma,Stroke,COPD,CHD,High Blood Pressure ,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Food Insecurity,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI) ,Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: % housing units built before 1960,Lead in drinking water violations,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs) ,Facilities with Enforcement or Violation,Landfills,TSCA Facilities ,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Temperature-related mortality,Deaths from climate disasters,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Increase in childhood asthma incidence,Aedes aldopictus dengue transmission increase,Aedes aegypti dengue transmission increase,Aedes aegypti zika transmission increase,FEMA Hazard Mitigation Grants ,Flooding risk to properties,Residential Energy Expenditures (% change),Methane Emissions,Cold Wave - Annualized Frequency,Days with maximum temperature above 35 C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index
IL,Kane,17089852402,"+41.9172697,-088.4286149",84.5,8.5,2,4.8,4.2,26,74,1.59,0,87.87,1.2,1,0.927728616,17,7,16.87,16.11,0.32,0.45,,0,98.2327283032462,,2930,0.3,0.04,0.01,0.04,0.05,0.008,0.02,0.02,20,8.915462839,368.7790433,34.6790694407544,0,,1.17E-05,0.06874026425543,0.22627127799993,1.333009018,,,0.13301856457678,,,8.679,2.399,37.82,5,11,9.9,-0.716211715,5220,-1E-04,2.75E-06,-8.02E-05,0.318650761,2,4,5544243.33,0.1,0.050007441,167355385420,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15,11.27777778,-0.212364414,1.41E-05,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852403,"+41.8534552,-088.5371740",83.7,9,2.7,6.8,5.6,30.9,74,1.74,0.01,76.75,0.79,3,,14,7,85.95,80.07,1.92,3.96,,13,29.1141814790126,51.1521187,1030,0.3,0.03,0.01,0.03,0.03,0.006,0.01,0.009,20,8.915462839,368.7790433,10.9257283835336,0,,0.0010257762015895,0.035398807702211,0.091096095195274,0.950239209,,,0.219348149755616,0.232251286,,8.336,2.207,37.78,3,2.5,3.4,-0.716211715,5220,-1E-04,2.75E-06,-0.000101,0,2,4,5544243.33,0.1,0.050007441,149390035600,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15,11.27777778,-0.212364414,3.97E-06,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852500,"+41.8761054,-088.2879456",79.7,8.7,2.4,5.5,4.8,27,74,1.55,0,154.24,2,2,5.544576889,7,7,32.41,30.38,1.08,0.95,,6,687.330822524741,50.391571,3840,0.4,0.05,0.01,0.05,0.07,0.009,0.02,0.03,30,8.915462839,368.7790433,31.0290107838257,0,,0.67832067531569,0.143527113879523,7.54747546525056,7.541236774,2.52317517,0.670354686,5.01842400129997,12.44832658,0.652601388,8.974,3.129,37.44,18,32.4,7,-0.716211715,5220,-9E-05,2.75E-06,-0.00014,0,2,4,5544243.33,0.1,0.050007441,4100948854366,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15,10.88888889,-0.212364414,5.64E-06,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852601,"+41.8885059,-088.3223597",82,8.4,2.5,5.4,5.3,29.8,74,1.5,0,126.02,1.95,2,9.965768956,11,7,14.71,14.02,0.45,0.24,,3,578.058254813313,,3010,0.4,0.05,0.01,0.05,0.07,0.009,0.02,0.03,30,8.915462839,368.7790433,6.6297965677188,0,,0.259137897838861,0.106484400144211,3.86660987451968,4.878471657,1.324318118,0.209832539,3.15887206279493,2.781517713,,8.933,3.057,37.34,8,42,0.3,-0.716211715,5220,-1E-04,2.75E-06,-8.66E-05,0,2,4,5544243.33,0.1,0.050007441,236985158272,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14.6666666666667,10.88888889,-0.212364414,1.36E-06,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852606,"+41.8692536,-088.3278742",82.5,8,2.8,5.3,5.9,31.1,74,1.52,0,129.66,2.75,1,7.814495925,,7,25.88,24.13,1.08,0.67,,1,452.942996454073,52.41465,1980,0.4,0.05,0.01,0.05,0.07,0.009,0.02,0.03,30,8.915462839,368.7790433,26.6830387128916,0,,0.328363375962675,0.104073790198675,3.41762267543263,5.162991244,1.614716186,0.323713967,3.03316043193418,3.181056115,,8.928,3.067,37.34,9,31.9,1.6,-0.716211715,5220,-1E-04,2.75E-06,-7.41E-05,0,2,4,5544243.33,0.1,0.050007441,236985158272,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.88888889,-0.212364414,4.91E-06,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852700,"+41.8530006,-088.3208900",84.2,8.7,2.4,5.5,4.8,27.7,74,1.59,0,98.3,2.2,2,4.366581592,14,7,10.95,10.7,0.14,0.11,,3,153.961035806824,53.1858292,3170,0.4,0.05,0.01,0.05,0.07,0.008,0.02,0.03,60,8.915462839,368.7790433,25.492292995826,0,,0.652240404865571,0.112604627661442,4.37325844977754,5.63768995,1.464638843,0.444359811,4.05883843038917,3.587856702,,8.967,3.146,37.31,6,45.6,0.3,-0.716211715,5220,-1E-04,2.75E-06,-0.000121,0,2,4,5544243.33,0.1,0.050007441,236985158272,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.88888889,-0.212364414,5.55E-07,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852803,"+41.8518897,-088.2814999",81.3,9.3,2.8,6.5,5.7,29.7,74,1.59,0,126.94,2.2,2,2.853654633,,7,11.83,10.77,0.46,0.59,,6,279.95944432263,48.8845482,3100,0.4,0.05,0.01,0.05,0.07,0.008,0.02,0.03,50,8.915462839,368.7790433,42.6577347385065,0,,0.057685106984119,0.145209113130461,6.86856512213169,6.090464109,2.367236479,0.905841306,5.69891313770308,7.908868382,0.036815161,9.133,3.218,37.56,1,35.9,6.9,-0.716211715,5220,-1E-04,2.75E-06,-0.000123,0,2,4,5544243.33,0.1,0.050007441,4532330775525,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.88888889,-0.212364414,1.38E-05,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852805,"+41.8252578,-088.3101565",81.1,8.6,2.2,5.3,4.5,26.8,74,1.53,0,137,2.53,2,3.223960876,,7,3.89,3.88,0,0,,10,51.1947305265864,53.5696106,3350,0.4,0.06,0.02,0.07,0.08,0.02,0.03,0.03,40,8.915462839,368.7790433,35.2592185338118,0,0.008031646,0.44615825800884,0.107062810140318,1.61961736907377,6.367417246,0.90822979,0.351774173,3.65080201498082,3.848700559,0.064714283,8.878,3.134,37.06,8,36.2,6.5,-0.716211715,5220,-1E-04,2.75E-06,-0.00011,0,2,4,5544243.33,0.1,0.050007441,423574533196,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.88888889,-0.212364414,6.1E-06,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852806,"+41.8263515,-088.2815787",80.8,8.5,1.9,4.4,3.7,24.7,74,1.54,0,126.42,2.53,1,2.179310153,,7,15.59,14.19,0.62,0.78,,0,510.792044882202,53.1569595,5180,0.4,0.05,0.01,0.06,0.08,0.01,0.02,0.03,40,8.915462839,368.7790433,32.4966727627177,0,0.006819201,0.010327525808951,0.132801907361899,3.1420383737284,4.488407941,0.933684148,0.447130012,3.75577449445747,4.764055472,0.064663195,8.853,3.159,37.52,1,31.9,6.9,-0.716211715,5220,-1E-04,2.75E-06,-0.000116,0,2,4,5544243.33,0.1,0.050007441,4649774961445,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.5,-0.212364414,1.09E-05,-2.497188091,-0.11954347,33.96017551
IL,Kane,17089852807,"+41.8353260,-088.3650167",82.7,8.4,2,4.6,4.1,25.8,74,1.56,0,70.44,2.1,1,3.552775307,,7,26.55,25.36,0.67,0.52,,0,176.288392007783,54.5389709,1950,0.4,0.05,0.01,0.06,0.07,0.01,0.02,0.02,30,8.915462839,368.7790433,23.102930622856,0,,0.009034216314205,0.07796286563826,0.989909472478027,2.001781472,,,0.854854085347138,0.660146303,,8.762,2.891,37.57,3,20.6,5.3,-0.716211715,5220,-1E-04,2.75E-06,-7.49E-05,0,2,4,5544243.33,0.1,0.050007441,236985158272,0.988467874,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,15.3333333333333,10.88888889,-0.212364414,1.19E-05,-2.497188091,-0.11954347,33.96017551
